iter	Passed	Remaining
1334	4061	2023
1335	4064	2020
1336	4067	2017
1337	4070	2013
1338	4072	2010
1339	4076	2007
1340	4079	2004
1341	4083	2002
1342	4087	1999
1343	4090	1996
1344	4093	1993
1345	4096	1990
1346	4100	1987
1347	4103	1984
1348	4106	1981
1349	4109	1978
1350	4112	1975
1351	4115	1972
1352	4117	1969
1353	4120	1965
1354	4123	1962
1355	4126	1959
1356	4128	1956
1357	4131	1953
1358	4134	1950
1359	4137	1947
1360	4140	1944
1361	4143	1941
1362	4146	1937
1363	4149	1934
1364	4152	1931
1365	4155	1928
1366	4158	1925
1367	4160	1922
1368	4163	1919
1369	4166	1915
1370	4168	1912
1371	4172	1909
1372	4174	1906
1373	4177	1903
1374	4180	1900
1375	4182	1896
1376	4185	1893
1377	4189	1890
1378	4192	1887
1379	4194	1884
1380	4197	1881
1381	4200	1878
1382	4203	1875
1383	4205	1872
1384	4208	1868
1385	4212	1865
1386	4214	1862
1387	4217	1859
1388	4220	1856
1389	4223	1853
1390	4226	1850
1391	4229	1847
1392	4231	1844
1393	4235	1841
1394	4237	1837
1395	4240	1834
1396	4243	1831
1397	4246	1828
1398	4249	1825
1399	4252	1822
1400	4254	1819
1401	4257	1816
1402	4260	1812
1403	4262	1809
1404	4265	1806
1405	4268	1803
1406	4271	1800
1407	4274	1797
1408	4277	1794
1409	4279	1790
1410	4283	1787
1411	4285	1784
1412	4289	1781
1413	4292	1778
1414	4295	1775
1415	4298	1772
1416	4301	1769
1417	4304	1766
1418	4307	1763
1419	4309	1760
1420	4312	1757
1421	4316	1754
1422	4319	1751
1423	4322	1748
1424	4324	1745
1425	4327	1741
1426	4330	1739
1427	4333	1736
1428	4336	1732
1429	4339	1729
1430	4342	1726
1431	4345	1723
1432	4348	1720
1433	4351	1717
1434	4354	1714
1435	4357	1711
1436	4360	1708
1437	4363	1705
1438	4366	1702
1439	4369	1699
1440	4372	1696
1441	4375	1693
1442	4379	1690
1443	4381	1687
1444	4385	1684
1445	4388	1681
1446	4391	1678
1447	4394	1675
1448	4397	1672
1449	4400	1669
1450	4403	1666
1451	4406	1662
1452	4409	1660
1453	4412	1656
1454	4414	1653
1455	4417	1650
1456	4420	1647
1457	4423	1644
1458	4427	1641
1459	4430	1638
1460	4434	1635
1461	4437	1633
1462	4441	1630
1463	4444	1627
1464	4448	1624
1465	4451	1621
1466	4454	1618
1467	4458	1615
1468	4461	1612
1469	4463	1609
1470	4467	1606
1471	4470	1603
1472	4473	1600
1473	4476	1597
1474	4480	1594
1475	4483	1591
1476	4486	1588
1477	4489	1585
1478	4492	1582
1479	4495	1579
1480	4498	1576
1481	4501	1573
1482	4504	1570
1483	4507	1567
1484	4510	1564
1485	4513	1561
1486	4516	1558
1487	4519	1555
1488	4522	1551
1489	4524	1548
1490	4527	1545
1491	4530	1542
1492	4533	1539
1493	4536	1536
1494	4539	1533
1495	4541	1530
1496	4544	1527
1497	4547	1523
1498	4550	1520
1499	4553	1517
1500	4556	1514
1501	4559	1511
1502	4562	1508
1503	4564	1505
1504	4568	1502
1505	4571	1499
1506	4573	1496
1507	4576	1493
1508	4579	1490
1509	4581	1486
1510	4585	1484
1511	4588	1480
1512	4591	1477
1513	4594	1474
1514	4597	1471
1515	4599	1468
1516	4603	1465
1517	4606	1462
1518	4609	1459
1519	4612	1456
1520	4614	1453
1521	4617	1450
1522	4620	1447
1523	4623	1444
1524	4626	1440
1525	4628	1437
1526	4631	1434
1527	4634	1431
1528	4637	1428
1529	4640	1425
1530	4642	1422
1531	4645	1419
1532	4649	1416
1533	4651	1413
1534	4654	1410
1535	4657	1406
1536	4660	1403
1537	4663	1400
1538	4665	1397
1539	4668	1394
1540	4671	1391
1541	4674	1388
1542	4676	1385
1543	4680	1382
1544	4682	1379
1545	4685	1375
1546	4688	1372
1547	4691	1369
1548	4693	1366
1549	4696	1363
1550	4699	1360
