SEQN,CYCLE,RIAGENDR,RIDAGEYR
86941.0,2015-2016,2.0,45.0
86943.0,2015-2016,2.0,13.0
86959.0,2015-2016,2.0,36.0
86960.0,2015-2016,2.0,22.0
86961.0,2015-2016,2.0,25.0
86968.0,2015-2016,2.0,25.0
86972.0,2015-2016,2.0,42.0
86981.0,2015-2016,2.0,27.0
86990.0,2015-2016,2.0,35.0
86993.0,2015-2016,2.0,15.0
86996.0,2015-2016,2.0,41.0
87005.0,2015-2016,2.0,31.0
87007.0,2015-2016,2.0,45.0
87018.0,2015-2016,2.0,49.0
87026.0,2015-2016,2.0,21.0
87028.0,2015-2016,2.0,27.0
87030.0,2015-2016,2.0,36.0
87031.0,2015-2016,2.0,48.0
87033.0,2015-2016,2.0,12.0
87039.0,2015-2016,2.0,37.0
87044.0,2015-2016,2.0,32.0
87046.0,2015-2016,2.0,32.0
87050.0,2015-2016,2.0,46.0
87053.0,2015-2016,2.0,34.0
87056.0,2015-2016,2.0,18.0
87058.0,2015-2016,2.0,14.0
87066.0,2015-2016,2.0,28.0
87088.0,2015-2016,2.0,27.0
87090.0,2015-2016,2.0,34.0
87092.0,2015-2016,2.0,16.0
87100.0,2015-2016,2.0,23.0
87117.0,2015-2016,2.0,15.0
87120.0,2015-2016,2.0,21.0
87129.0,2015-2016,2.0,28.0
87130.0,2015-2016,2.0,42.0
87131.0,2015-2016,2.0,27.0
87147.0,2015-2016,2.0,20.0
87154.0,2015-2016,2.0,30.0
87159.0,2015-2016,2.0,22.0
87162.0,2015-2016,2.0,35.0
87163.0,2015-2016,2.0,44.0
87165.0,2015-2016,2.0,35.0
87166.0,2015-2016,2.0,18.0
87169.0,2015-2016,2.0,39.0
87171.0,2015-2016,2.0,40.0
87174.0,2015-2016,2.0,27.0
87179.0,2015-2016,2.0,34.0
87180.0,2015-2016,2.0,33.0
87185.0,2015-2016,2.0,24.0
87191.0,2015-2016,2.0,17.0
87192.0,2015-2016,2.0,18.0
87194.0,2015-2016,2.0,31.0
87196.0,2015-2016,2.0,12.0
87200.0,2015-2016,2.0,28.0
87207.0,2015-2016,2.0,30.0
87212.0,2015-2016,2.0,15.0
87219.0,2015-2016,2.0,42.0
87226.0,2015-2016,2.0,41.0
87229.0,2015-2016,2.0,43.0
87236.0,2015-2016,2.0,45.0
87238.0,2015-2016,2.0,19.0
87241.0,2015-2016,2.0,23.0
87243.0,2015-2016,2.0,33.0
87244.0,2015-2016,2.0,29.0
87250.0,2015-2016,2.0,49.0
87255.0,2015-2016,2.0,45.0
87258.0,2015-2016,2.0,30.0
87276.0,2015-2016,2.0,44.0
87277.0,2015-2016,2.0,25.0
87281.0,2015-2016,2.0,48.0
87283.0,2015-2016,2.0,42.0
87289.0,2015-2016,2.0,37.0
87293.0,2015-2016,2.0,12.0
87297.0,2015-2016,2.0,46.0
87303.0,2015-2016,2.0,40.0
87304.0,2015-2016,2.0,12.0
87311.0,2015-2016,2.0,47.0
87315.0,2015-2016,2.0,30.0
87317.0,2015-2016,2.0,36.0
87318.0,2015-2016,2.0,30.0
87326.0,2015-2016,2.0,25.0
87330.0,2015-2016,2.0,36.0
87332.0,2015-2016,2.0,14.0
87346.0,2015-2016,2.0,32.0
87353.0,2015-2016,2.0,30.0
87369.0,2015-2016,2.0,24.0
87371.0,2015-2016,2.0,15.0
87374.0,2015-2016,2.0,12.0
87376.0,2015-2016,2.0,40.0
87399.0,2015-2016,2.0,14.0
87408.0,2015-2016,2.0,16.0
87409.0,2015-2016,2.0,44.0
87418.0,2015-2016,2.0,31.0
87423.0,2015-2016,2.0,31.0
87427.0,2015-2016,2.0,22.0
87436.0,2015-2016,2.0,36.0
87440.0,2015-2016,2.0,39.0
87441.0,2015-2016,2.0,19.0
87447.0,2015-2016,2.0,37.0
87452.0,2015-2016,2.0,15.0
87457.0,2015-2016,2.0,13.0
87467.0,2015-2016,2.0,12.0
87470.0,2015-2016,2.0,40.0
87473.0,2015-2016,2.0,44.0
87474.0,2015-2016,2.0,27.0
87480.0,2015-2016,2.0,31.0
87482.0,2015-2016,2.0,29.0
87487.0,2015-2016,2.0,43.0
87508.0,2015-2016,2.0,20.0
87510.0,2015-2016,2.0,29.0
87514.0,2015-2016,2.0,23.0
87516.0,2015-2016,2.0,43.0
87517.0,2015-2016,2.0,17.0
87520.0,2015-2016,2.0,39.0
87522.0,2015-2016,2.0,26.0
87523.0,2015-2016,2.0,19.0
87527.0,2015-2016,2.0,14.0
87532.0,2015-2016,2.0,12.0
87539.0,2015-2016,2.0,31.0
87544.0,2015-2016,2.0,28.0
87555.0,2015-2016,2.0,31.0
